MI TEAM
No	Player	Acquisition	Type	Role	Price
1	Rohit Sharma	Retained	Indian (capped)	Batter	-
2	Surya Kumar Yadav	Retained	Indian (capped)	Batter	-
3	Robin Minz	Retained	Indian (uncapped)	Wicketkeeper	-
4	Ryan Rickelton	Retained	Overseas (capped)	Wicketkeeper	-
5	Tilak Varma	Retained	Indian (capped)	Batter	-
6	Hardik Pandya	Retained	Indian (capped)	All-rounder	-
7	Naman Dhir	Retained	Indian (uncapped)	All-rounder	-
8	Mitchell Santner	Retained	Overseas (capped)	All-rounder	-
9	Will Jacks	Retained	Overseas (capped)	All-rounder	-
10	Corbin Bosch	Retained	Overseas (capped)	All-rounder	-
11	Raj Bawa	Retained	Indian (uncapped)	All-rounder	-
12	Trent Boult	Retained	Overseas (capped)	Bowler	-
13	Jasprit Bumrah	Retained	Indian (capped)	Bowler	-
14	Deepak Chahar	Retained	Indian (capped)	Bowler	-
15	Ashwani Kumar	Retained	Indian (uncapped)	Bowler	-
16	Raghu Sharma	Retained	Indian (uncapped)	Bowler	-
17	Allah Ghazanfar	Retained	Overseas (capped)	Bowler	-
18	Mayank Markande	Trade	Indian (uncapped)	Bowler	-
19	Shardul Thakur	Trade	Indian (capped)	All-rounder	-
20	Sherfane Rutherford	Trade	Overseas (capped)	Batter	-
21	Quinton De Kock	Auction	Overseas (capped)	Wicketkeeper	1.00 crore
22	Atharva Ankolekar	Auction	Indian (uncapped)	All-rounder	30 lakh
23	Mohammad Izhar	Auction	Indian (uncapped)	Bowler	30 lakh
24	Danish Malewar	Auction	Indian (uncapped)	Batter	30 lakh
25	Mayank Rawat	Auction	Indian (uncapped)	All-rounder	30 lakh

LSG TEAM

1	Rishabh Pant	Retained	Indian (capped)	Wicketkeeper	-
2	Ayush Badoni	Retained	Indian (uncapped)	All-rounder	-
3	Abdul Samad	Retained	Indian (uncapped)	Batter	-
4	Aiden Markram	Retained	Overseas (capped)	Batter	-
5	Himmat Singh	Retained	Indian (uncapped)	Batter	-
